EXTRELNO,EXRELACTCD,EXTRELSTDT,EXRELDATEN
28657,FP,2005-09-28,NaT
28660,FP,2005-09-28,2008-05-13
28663,FP,2005-09-28,2016-12-14
28667,FP,2005-09-28,2007-09-06
28674,FP,2005-09-28,NaT
28677,FP,2005-09-28,NaT
28679,FP,2005-09-28,NaT
28679,CT,2014-01-29,NaT
28682,FP,2005-09-28,2013-11-04
28682,CT,2010-12-09,NaT
28683,FP,2005-09-28,NaT
28696,FP,2005-09-28,NaT
28696,CT,2015-07-20,NaT
28697,FP,2005-09-28,2009-02-16
28700,FP,2005-09-28,NaT
28700,CT,2013-06-06,NaT
28702,FP,2005-09-28,NaT
28704,FP,2005-09-28,2008-05-07
28707,CT,2005-09-28,NaT
28707,FP,2005-09-28,NaT
28716,FP,2005-09-28,NaT
28722,FP,2005-09-28,NaT
28729,FP,2005-09-28,NaT
28729,CT,2017-01-02,NaT
28734,FP,2005-09-28,2006-03-28
28736,FP,2005-09-28,NaT
28736,CT,2012-02-19,NaT
28738,FP,2005-09-28,NaT
28739,FP,2005-09-28,NaT
28741,FP,2005-09-28,2008-09-08
28744,FP,2005-09-28,NaT
28746,FP,2005-09-28,2013-12-11
28747,FP,2005-09-28,NaT
28750,FP,2005-09-28,NaT
28752,FP,2005-09-28,NaT
28772,FP,2005-09-28,2012-03-18
28776,FP,2005-09-28,NaT
28789,FP,2005-09-28,NaT
28795,FP,2005-09-28,NaT
28796,FP,2005-09-28,2010-02-28
28797,FP,2005-09-28,2015-06-22
28797,CT,2016-02-23,NaT
28798,FP,2005-09-28,2014-07-03
28799,FP,2005-09-28,2012-04-05
28800,FP,2005-09-28,2008-08-17
28804,FP,2005-09-28,2006-05-28
28807,CT,2005-09-28,NaT
28807,FP,2005-09-28,2007-06-21
28811,FP,2005-09-28,NaT
28819,FP,2005-09-28,2005-10-28
28820,FP,2005-09-28,NaT
28821,FP,2005-09-28,2012-12-26
28821,CT,2012-08-08,NaT
28824,FP,2005-09-28,NaT
28827,FP,2005-09-28,NaT
28828,FP,2005-09-28,NaT
28833,FP,2005-09-28,2008-03-23
28836,FP,2005-09-28,NaT
28838,FP,2005-09-28,NaT
28839,FP,2005-09-28,2015-10-05
28842,FP,2005-09-28,NaT
28850,FP,2005-09-28,NaT
28857,FP,2005-09-28,NaT
28857,CT,2015-09-01,NaT
28862,FP,2005-09-28,NaT
28870,FP,2005-09-28,2011-02-03
28872,FP,2005-09-28,NaT
28873,FP,2005-09-28,NaT
28877,FP,2005-09-28,2006-06-27
28878,FP,2005-09-28,NaT
28883,FP,2005-09-28,2006-04-27
28885,FP,2005-09-28,2007-06-21
28886,FP,2005-09-28,2007-08-28
28896,FP,2005-09-28,NaT
28897,FP,2005-09-28,NaT
28903,FP,2005-09-28,2007-09-06
28911,FP,2005-09-28,2011-08-07
28913,FP,2005-09-28,2007-09-26
28913,CT,2008-03-04,NaT
28914,FP,2005-09-28,NaT
28933,FP,2005-09-28,NaT
28974,FP,2005-09-28,2013-06-05
28980,FP,2005-09-28,2009-02-25
28981,FP,2005-09-28,2015-07-02
28983,FP,2005-09-28,2008-08-12
28985,FP,2005-09-28,NaT
28986,FP,2005-09-28,NaT
28991,FP,2005-09-28,2018-10-04
28995,FP,2005-09-28,2009-01-22
28995,FP,2009-01-28,2015-02-08
29003,FP,2005-09-28,NaT
29003,CT,2015-05-21,NaT
29006,FP,2005-09-28,2009-02-09
29014,FP,2005-09-28,2018-01-08
29015,FP,2005-09-28,NaT
29016,FP,2005-09-28,2014-03-03
29020,FP,2005-09-28,2010-09-07
29021,FP,2005-09-28,2010-12-26
29027,FP,2005-09-28,2015-12-07
29028,FP,2005-09-28,2015-07-07
29033,FP,2005-09-28,2019-01-31
